company_name,company_website,primary_service,secondary_services,business_model,primary_industry,secondary_industries,sub_industry,specificity,company_type,client_profile,company_stage,geography,confidence,detected_signals,reasoning
Catholic,http://www.catholicrecruiter.com,executive_search,,not_specified,other,,nonprofit,high,mixed,nonprofit_large,not_applicable,unknown,8,"Catholic organizations, dioceses, Catholic educational institutions, religious orders, non‑profit placement, Catholic affiliated organizations, mission‑driven culture, faith‑based leadership recruitment, religious sector","The firm explicitly markets executive search for Catholic dioceses, schools, religious orders and other faith‑based non‑profits, indicating a clear niche. This niche places it in the 'other' industry with a nonprofit sub‑industry. Client types span large religious institutions and schools, leading to a mixed profile and the 'nonprofit_large' client descriptor."
Flatiron Search,http://www.flatironsearch.com,executive_search,,retained,retail,"information_technology, healthcare",consumer_goods,high,vc_backed,vc_growth,series_c_plus,national,8,"high-growth consumer brands; beauty; business services; consumer products/services; consumer health care; education & training; experiential/specialty retail; food & beverage/restaurants; franchising; health & wellness/active lifestyle; hospitality & nightlife; technology & SaaS; roles in finance, operations, supply chain, CEO, presidents, functional leads; US and Canada coverage; well‑funded, fast‑growing companies","The firm describes itself as a boutique executive‑search firm focused on high‑growth, well‑funded consumer brands, indicating a clear niche (executive search for fast‑growing consumer companies). The dominant industry theme is retail/consumer goods, with secondary mentions of tech (SaaS) and consumer health, leading to a retail primary classification. Clients are portrayed as VC‑backed growth‑stage companies, so vc_growth is the best fit."
Flower Hire,http://www.flowerhire.com,executive_search,staffing,not_specified,other,,,high,mixed,mixed_types,not_applicable,unknown,8,"cannabis industry, executive search, staffing, HR advisory services, focus on executive and HR leadership roles, exclusive niche in cannabis sector","The firm explicitly states it serves only the cannabis sector, positioning itself as a niche executive search and staffing provider, which gives a clear industry signal (other) and a high‑specificity niche. No client size or funding stage is mentioned, so the client type is mixed and the profile is classified as mixed_types. Business model and geography are not described, leading to not_specified and unknown respectively."
Prestige,http://www.prestigescientific.com,executive_search,,not_specified,healthcare,,pharma,high,unknown,mixed_types,not_applicable,global,8,life sciences sector; executive search; clinical R&D; commercial; diagnostics & tools; discovery & preclinical; drug safety & pharmacovigilance; executive leadership & board of directors; global network; no geographic limitation; no pricing model disclosed,"The firm explicitly markets executive search for the life sciences sector, with detailed functional areas (clinical R&D, drug safety, etc.) indicating a clear healthcare focus, specifically pharma/biotech. No size or VC signals are provided, so client type and profile are marked as mixed/unknown. Geography is global as no limits are mentioned."
GX People,http://www.gxpeople.com,executive_search,"permanent_recruiting, staffing",contingency,healthcare,,pharma,high,mixed,mixed_types,not_applicable,global,9,"mentions pharmaceuticals, biotechnology, medical devices; functional areas include Quality Assurance, Quality Control, Analytical Method Development, Quality Management, Audit and Compliance, Data Integrity, Manufacturing, Engineering and Production, Validation, Technical Operations, Distribution of Medicinal Products, Regulatory Affairs; services listed are executive search, contingency search, interim/contract staffing; geographic coverage includes United Kingdom, United States, Germany, Spain, Switzerland; language targets businesses of all sizes.","The firm explicitly focuses on pharma, biotech, and medical devices, clearly placing it in the healthcare industry with a strong niche. It offers executive search, contingency (permanent) recruiting, and interim staffing, indicating those services. Client size is not defined, so a mixed profile is most accurate, and its presence in multiple countries makes it global."
FlowerHire,http://www.flowerhire.com,executive_search,staffing,not_specified,other,,,high,mixed,mixed_types,not_applicable,unknown,8,cannabis industry; executive search; staffing; HR advisory services; focus exclusively on cannabis companies; roles include executive and senior positions; language about forward‑thinking individuals and change‑makers; no mention of other sectors or geographic scope.,"The firm repeatedly emphasizes its exclusive focus on the cannabis sector and offers both executive search and staffing, giving a clear niche (high specificity). Cannabis does not map to any predefined industry, so it falls under 'other'. No client size or geography is described, leading to a mixed client type and profile."
SRI Talent,http://www.sritalent.com,executive_search,"permanent_recruiting, staffing",retained,healthcare,"manufacturing, finance",,medium,mixed,mixed_types,not_applicable,unknown,7,"mentions aerospace, engineering, finance and accounting, food, human resources, and a strong focus on healthcare (testimonial from a $6B healthcare company building a Corporate Strategy team). Also references retained search, contingent placement, and contract staffing.","The firm offers retained executive search, contingent placement, and contract staffing, indicating a primary focus on executive search. While it lists many industries, the explicit emphasis on a large healthcare client suggests healthcare as the dominant sector, with manufacturing (aerospace, food) and finance as secondary. Client types span multiple sizes, leading to a mixed profile classification."
Delson,http://www.delsontalent.com,executive_search,"permanent_recruiting, rpo",retained,healthcare,"information_technology, construction",biotech,medium,mixed,mixed_types,not_applicable,local,8,"biotech, pharmaceutical, medical_devices, HVAC, technology, early-stage startups, general & administrative (G&A), sales, consulting/contracting, retained searches, full cycle recruitment, embedded recruitment, ATS and recruitment tool evaluation, San Francisco, Long Beach, California","The firm repeatedly mentions biotech, pharma, and med‑device work, indicating a healthcare focus, while also listing tech and HVAC, giving secondary industries. It highlights retained executive searches, suggesting a retained business model and executive_search as the primary service. Client types span startups to established firms, leading to a mixed profile and local California geography."
Brio,http://www.briogrp.com,executive_search,permanent_recruiting,not_specified,healthcare,information_technology,biotech,high,vc_backed,vc_growth,series_c_plus,unknown,8,"life sciences, biotech, pharma, digital health, medical device, health tech, IT, SaaS, high‑growth startups, innovative companies, clinical executive leadership, medical science liaisons, regulatory executives, executive search process, talent acquisition partner","The firm emphasizes executive search for life‑science roles (biotech, pharma, medical devices) and also mentions IT/SaaS, indicating a primary focus on healthcare with a secondary tech angle. Their target market is high‑growth startups, which are typically VC‑backed, placing them in the vc_growth segment (Series B/C). No pricing model or geographic scope is disclosed, leading to a not_specified business model and unknown geography."
Chasm Partners,http://www.chasmpartners.com,executive_search,rpo,retained,healthcare,,health_tech,high,vc_backed,vc_growth,series_c_plus,unknown,9,"healthcare talent solutions provider; specializes in healthcare services, healthcare technology, and Life Sciences; executive search and non‑executive search; retained search model (ChasmSearch); RPO offering (ChasmTeam); leadership coaching (ChasmLead); at‑risk recruiting model; clients backed by top Venture Capital and Private Equity; high‑growth, innovative healthcare companies; focus on executive and VP‑level placements; no geographic specificity mentioned.","The firm repeatedly emphasizes healthcare (services, technology, life sciences) as its core market, uses a retained executive search model, and serves VC/PE‑backed high‑growth healthcare companies, indicating a clear niche. These signals justify classifying it as executive_search, retained, healthcare (health_tech), vc_growth client profile at series C+ stage."
CCA,http://www.ccarecruit.com,executive_search,permanent_recruiting,not_specified,manufacturing,"logistics, information_technology, finance",,medium,mixed,mixed_types,not_applicable,national,7,"mentions logistics, supply chain, manufacturing, distribution, transportation, sales, finance, technology, accounting, VP of Logistics, Directors of Transportation, CEOs, Corporate Controllers, nationwide service, woman-owned professional recruiting firm.","The firm emphasizes executive and professional placement for leadership roles, especially in manufacturing, logistics, and supply chain, indicating a primary focus on manufacturing. It serves a broad range of client sizes across the U.S., leading to a mixed client type classification. Lack of explicit pricing or engagement details leaves the business model unspecified."
Palladian West,http://www.palladianwest.com,executive_search,,retained,multi_industry,,,low,mixed,mixed_types,not_applicable,global,7,"mentions executive search, executive coaching, leadership consulting, talent strategy, team architecture, data‑driven process, Predictive Index psychometric tools, white‑glove process; no specific industry, sector, or client vertical referenced.","Both firms focus on executive search and leadership services without naming any industry or client size, indicating a broad, multi‑industry approach. The retained nature of executive search suggests a retained business model, and the lack of geographic limits points to a global reach."
KTG Search,http://www.ktgsearch.com,executive_search,sourcing,retained,multi_industry,"information_technology, retail",saas,high,vc_backed,vc_growth,series_c_plus,unknown,8,"executive search focus on C‑level and VP roles, Go‑to‑Market and operational leadership, board placements, talent advisory for venture capital and private equity portfolios, emphasis on underrepresented leaders, high‑growth consumer companies, repeat client referrals, no geographic specificity.","The firm explicitly markets executive search for C‑level/VP roles and offers talent advisory to VC/PE portfolios, indicating a focus on high‑growth, venture‑backed consumer companies. This niche points to a VC‑backed client base in growth stages (Series B/C). No dominant industry is mentioned, so a multi‑industry classification with IT and retail as secondary sectors is appropriate."
LS,http://www.ls-international.com,executive_search,permanent_recruiting,retained,manufacturing,retail,food_beverage,high,enterprise,enterprise_public,not_applicable,unknown,8,"focus on executive search for C‑Suite roles; targets consumer goods sector; client list includes Melitta, Brita, Carlsberg, Coty, Danone, Puma, Lindt, Duracell; mentions retailers needing new leaders; emphasizes international service for consumer companies; 95% repeat business; talent development and assessment services.","The firm explicitly offers executive search for C‑Suite positions in consumer goods companies, with a client roster of large, publicly‑traded manufacturers (food, beverage, apparel, etc.). This points to a manufacturing focus, specifically food & beverage, and an enterprise‑public client base. The executive‑search model is typically retained, leading to the chosen classifications."
Meederby,http://www.meederby.com,executive_search,,retained,other,,,high,mixed,mixed_types,not_applicable,unknown,8,"focus on staffing industry, workforce solutions, professional services staffing, light industrial staffing, executive search for staffing firms, mentions of start‑ups to global staffing players, deep expertise in staffing and workforce management.","The firm repeatedly emphasizes its niche in the staffing and workforce solutions sector, making staffing the dominant industry signal, which maps to 'other' in the allowed list. It serves a range of staffing firms from startups to large global players, indicating a mixed client base, so 'mixed_types' is the most precise profile. Executive search is the clear service, typically retained, leading to the chosen classifications."
Cole,http://www.colegroup.com,executive_search,,retained,information_technology,,saas,high,mixed,vc_growth,series_c_plus,unknown,9,"mentions of technology clients such as OpenAI, DoorDash, Figma, Datadog, Vercel, Lambda, Stripe, Workday, Atlassian, Zendesk, MongoDB, Confluent, Twilio, Splunk, Snap, Airbnb, Instacart, Supercell, Roblox, Tinder, Reddit; focus on sales and marketing executive roles (CRO, CMO); language about high‑growth, tech‑focused companies; no references to other sectors.","The firm exclusively offers executive search for senior go‑to‑market roles and cites a roster of well‑known technology companies, indicating a clear focus on the IT sector, specifically SaaS. Their high‑touch, retained model and client list of fast‑scaling, VC‑backed tech firms point to a vc_growth profile. No other industry or geography is emphasized, leading to high confidence in these classifications."
Safire,http://www.safirepartners.com,executive_search,,not_specified,multi_industry,"information_technology, retail",saas,low,mixed,vc_growth,series_c_plus,unknown,6,"Client list includes many technology and internet companies (AirMap, Airpush, CloudVirga, DataScience, Defy Media, Docstoc, FanConnect, First Advantage, Fox Sports Media Group, Funny or Die, GumGum, Headspace, ICON Aircraft, Instantly, Interset, Invoca, LegalZoom, Live Nation, Machinima, Mindshow, OpenX, Pathmatics, PatientPop, Payoff, RealtyMogul, Real­tyTrac, Revolution Prep, Science Inc, Shift Technologies, TrueCar, Turtle Beach, Upfront Ventures, etc.). Signals span media/entertainment, ad‑tech, e‑commerce, fashion/beauty (Beautycounter, HauteLook, Ipsy, MVMT Watches, Nasty Gal, Reformation), health/medical (Health Data Vision, Lifescript, MD Insider), finance (Payoff, Real­tyMogul), aerospace (ICON Aircraft), energy (Inspire Energy). No single sector dominates >50% of the list.","The firm is an executive search boutique focused on emerging companies, with a client roster that spans many tech‑centric and consumer‑focused startups, indicating no single dominant industry. This breadth leads to a multi_industry classification, with information technology (saas) as the strongest secondary signal. The emphasis on early‑to‑mid‑stage growth companies points to a vc_growth client profile."
33 Eleven,http://www.33eleven.com,executive_search,,retained,information_technology,,saas,high,vc_backed,vc_growth,series_c_plus,unknown,8,"mentions executive search, C‑level, VP, board members; focuses on technology, product development, data management, go‑to‑market; serves high‑growth markets, startups, early‑stage to IPO companies; references private equity, venture capital, growth‑stage firms; no geographic limits or size specifics.","The firm explicitly offers executive search (retained) for technology‑focused, high‑growth companies, citing VC and PE backed startups through IPO. This points to an information technology primary industry with a SaaS‑type sub‑industry and a VC‑growth client profile. Lack of geographic or size details leads to unknown geography and a confidence of 8."
Quantum Talent,http://www.quantumtalent.io,permanent_recruiting,"executive_search, rpo",not_specified,information_technology,,ai_ml,high,vc_backed,vc_growth,series_c_plus,unknown,8,"targets VC‑backed AI, SaaS and Web3 startups; mentions Tier 1 venture firms (Sequoia, a16z, Khosla, Lightspeed, Coatue, Bessemer, Index, Craft); client list includes Character AI, Scale AI, Together AI, Hebbia, ClickUp, Rippling, Moonpay, Yuga Labs, etc.; focuses on engineering, product, finance and go‑to‑market roles; emphasizes building entire companies from seed through IPO.","The firm repeatedly emphasizes recruiting for VC‑backed AI, SaaS and Web3 startups and lists numerous such clients, clearly placing it in the information technology sector. Its focus on full‑team builds and executive suites points to permanent recruiting with executive search capabilities. The client base is described as VC‑backed growth‑stage companies, leading to a vc_growth profile and a series C+ stage classification."
Crui t,http://www.cruitgroup.com,executive_search,"permanent_recruiting, staffing",not_specified,information_technology,finance,cybersecurity,medium,mixed,vc_growth,series_c_plus,unknown,8,"emerging technologies, crypto/blockchain, fintech, high-growth startups, managed service providers, software engineering, blockchain, IT infrastructure, information security, business development, product marketing/management, finance","The firm highlights executive search, direct hire and contract staffing, indicating a primary focus on executive_search with permanent and staffing as secondary services. Industry cues (emerging tech, crypto, blockchain, fintech, software engineering, IT infrastructure, information security) point to information_technology as dominant, with finance as a secondary. Client language (high‑growth startups, crypto, fintech) suggests VC‑backed growth‑stage companies, leading to a vc_growth profile and a series_c_plus stage."
Laurel,http://www.laurel-group.com,executive_search,sourcing,not_specified,information_technology,"retail, manufacturing",enterprise_software,high,mixed,mixed_types,not_applicable,national,8,"technology-focused companies, executive leadership hiring, enterprise software (PaaS/SaaS), big data & analytics, cloud computing, cybersecurity, retail, IoT, manufacturing, network services, wireless & mobility, eCommerce, robotics, US cities (Seattle, San Francisco, New York, Chicago) indicating national reach, executive search process, talent management, 500+ searches, 100% placement success","The firm explicitly markets executive search for technology-focused firms and lists many tech sub‑sectors, pointing to information technology as the dominant industry. Their focus on executive leadership and mention of sourcing supports a primary executive_search service with sourcing as a secondary. No size or funding details are given, so client type is mixed, and the client profile is best captured as mixed_types. Geographic coverage across major US cities signals a national reach."
Quantum Talent,http://www.quantumtalent.io,permanent_recruiting,"executive_search, sourcing",not_specified,information_technology,,ai_ml,high,vc_backed,vc_growth,series_c_plus,unknown,8,"focus on VC‑backed AI, SaaS and Web3 startups; mentions of Tier 1 VCs (Sequoia, a16z, Khosla, Lightspeed, etc.); client list includes Character AI, Scale AI, ClickUp, Rippling, Moonpay, Yuga Labs, etc.; language about building executive suites, engineering, product, finance, go‑to‑market teams; “seed through IPO” lifecycle; startup speed and elite standards.","The firm repeatedly emphasizes recruiting for VC‑backed AI, SaaS and Web3 startups, naming prominent venture firms and startup clients, which points to an information‑technology focus with an AI/ML sub‑industry. Its service description centers on full‑time placements and executive hiring, so permanent recruiting is primary. The target market spans growth‑stage startups, leading to a vc_growth profile and series‑C‑plus stage classification."
Parker Remick,http://www.parkerremick.com,executive_search,,retained,information_technology,,ai_ml,high,mixed,vc_growth,series_c_plus,global,9,"focus on technology and AI leadership roles; engineering, product management, C‑level and VP placements; venture‑backed startups; private‑equity‑backed firms; public companies; AI robotics startup Mytra case study; retained executive search model; placements in US and 26 other countries; emphasis on growth, platform modernization, value‑creation plans.","The firm explicitly markets itself as a retained executive search firm specializing in technology and AI leadership, indicating a clear information‑technology focus (ai_ml sub‑industry). It repeatedly mentions serving venture‑backed startups and private‑equity‑backed firms, pointing to a VC‑growth client profile. Global placement reach and retained model further support the classifications."
Kindred Partners,http://www.kindredpartners.com,executive_search,,not_specified,information_technology,healthcare,saas,high,vc_backed,vc_growth,series_c_plus,unknown,9,"technology startups, venture-backed, enterprise, consumer, healthcare, executive talent, founders, CEOs, boards of directors, portfolio companies, Amazon, Anaplan, Asana, AuditBoard, Auris Surgical, Bill.com, Coupa, Facebook, Gainsight, GitLab, Gusto, HashiCorp, Looker Data, MuleSoft, Postmates, Ripple, Samsara, TeamSnap, TheRealReal, Udemy, 20 years experience, executive search focus, no geographic limits mentioned","The firm explicitly markets executive search for venture-backed technology startups, listing numerous SaaS and tech companies as clients, indicating a clear focus on the information technology sector (specifically SaaS). Their emphasis on early and growth-stage VC-backed firms points to a vc_growth client profile, with the stage corresponding to Series B/C and beyond."
Zeal,http://www.zeal.ventures,executive_search,"permanent_recruiting, sourcing",not_specified,information_technology,retail,ai_ml,high,vc_backed,vc_growth,series_c_plus,unknown,9,"executive recruiting for startups; seed to pre-IPO focus; technology and consumer sectors; AI, engineering, product, go-to-market, finance, operations, people, legal functions; senior‑level roles (C‑suite, VP, Head of); direct sourcing approach; no geographic or pricing details provided.","The firm explicitly markets executive search for early‑stage and growth‑stage startups, emphasizing technology (AI, engineering) and consumer sectors, which points to an information‑technology focus with an AI/ML sub‑industry. Client language (seed to pre‑IPO) aligns with VC‑backed growth companies, leading to a vc_growth profile and series_c_plus stage classification."
Combine,http://www.combinegr.com,executive_search,"rpo, permanent_recruiting",not_specified,information_technology,"retail, logistics",,medium,mixed,mixed_types,not_applicable,global,7,"mentions executive search, outsourcing, direct hire; targets technology and corporate sectors; client examples Boticário (retail/consumer goods) and Nowports (logistics); emphasizes global expertise and data‑driven solutions; no specific geographic focus stated.","The firm highlights executive search, RPO, and direct hire, with a clear emphasis on technology companies, making IT the primary industry. Client examples span retail and logistics, so those are listed as secondary industries. Lack of explicit size or stage cues leads to a mixed client profile and medium confidence."
Terransys,http://www.terransys.com,executive_search,"permanent_recruiting, rpo",not_specified,information_technology,finance,ai_ml,high,vc_backed,vc_growth,series_c_plus,local,8,"technology sector, startups, Silicon Valley, Los Angeles, B2B, B2C, Cloud, Enterprise, FinTech, Internet, IoT, Robotics, SaaS, Security, VR, VP of AI, CTO, data scientists, software engineers, retained placements, contingency placements, RPO, investors (Khosla Ventures, IA Ventures), focus on high‑level technical talent.","The firm repeatedly emphasizes recruiting technology executives, AI leaders, and software talent for startups, with explicit mentions of Silicon Valley and Los Angeles, indicating a strong focus on the information technology industry and VC‑backed clients. The presence of retained, contingency, and RPO services, plus references to AI, SaaS, and FinTech, support a high‑specificity niche classification."
SPMB,http://www.spmb.com,executive_search,,retained,information_technology,"finance, healthcare, other",saas,high,mixed,vc_growth,series_c_plus,global,9,"focus on technology market, C‑Level and Board searches, disruptive growth‑oriented startups, digital transformation for large multinationals; client list includes Google Cloud, Snowflake, Twilio, GitHub, C3.ai, Cohesity, PagerDuty, Smartsheet (SaaS/AI/Cloud); also Disney (media), Under Armour (consumer), NerdWallet (fintech), Impossible Foods (food tech), MLB (sports), Airbnb (marketplace), lululemon (apparel), Noom (health tech), Hyatt (hospitality), Amazon (e‑commerce); mentions media, consumer, financial services, healthcare, renewables sectors.","The firm repeatedly describes itself as the #1 executive search firm for the technology market and lists numerous tech‑focused clients, indicating a dominant IT focus. It explicitly mentions retained (independent) search engagements, confirming a retained business model. Client signals point to growth‑stage VC‑backed tech startups as the primary target, with additional enterprise customers, leading to a mixed client type and vc_growth profile."
