_idx,first_name,_company_name,_company_website,_country,primary_service,sub_industry,client_profile,matrix_key,matrix_pain_used,custom_personalisation,full_email
10,,Jobufo GmbH,,,sourcing,saas,enterprise_public,sourcing__saas,internal team can reach out but can't find the right people to reach,figured i'd reach out - i talk to a lot of talent leads in SaaS and they keep saying they can't get the right candidates even when we reach out,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in SaaS and they keep saying they can't get the right candidates even when we reach out

worth intro'ing you?"
11,,SoBes App - приложение для HR и рекрутеров,,,unknown,saas,mixed_types,unknown__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they can't find VP Sales who can actually build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they can't find VP Sales who can actually build a team

worth intro'ing you?"
12,,Lumina Talent Agency,,,sourcing,null,mixed_types,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they always have a thin bench when a req opens,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they always have a thin bench when a req opens

worth intro'ing you?"
13,,BRANDTY,,,permanent_recruiting,enterprise_software,mixed_types,permanent_recruiting__enterprise_software,finding engineers who know legacy stacks and actually want to work in them,figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers with legacy stack expertise who actually want the job,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers with legacy stack expertise who actually want the job

worth intro'ing you?"
14,,The HeadHunter Global,,,executive_search,null,mixed_types,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates

worth intro'ing you?"
15,,FilmiJob,,,sourcing,grocery_food_retail,mixed_types,sourcing__grocery_food_retail,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads and they keep saying they see a thin bench whenever a req opens,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads and they keep saying they see a thin bench whenever a req opens

worth intro'ing you?"
16,,RECREW HR Sp. z o.o.,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly when demand spikes and lose projects,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly when demand spikes and lose projects

worth intro'ing you?"
17,,Global FindNewJob,,,staffing,null,enterprise_private,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
18,,Babel Profiles,,,executive_search,luxury_retail,mixed_types,executive_search__luxury_retail,keep running searches for commercial talent that drag on 4-5 months,figured i'd reach out - i talk to a lot of luxury retail brand directors and GMs and they keep saying they run commercial talent searches that drag on 4-5 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of luxury retail brand directors and GMs and they keep saying they run commercial talent searches that drag on 4-5 months

worth intro'ing you?"
19,,Cesop HR Consulting Company,,,permanent_recruiting,null,enterprise_private,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
20,,abmStudio [Executive Search-HR Management],,,executive_search,null,enterprise_private,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at scaling firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at scaling firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates

worth intro'ing you?"
21,,add-victor,,,sourcing,education,mixed_types,sourcing__education,can't fill substitute and specialist roles before the semester starts,figured i'd reach out - i talk to a lot of HR leads in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR leads in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts

worth intro'ing you?"
22,,Cerecaptio,,,rpo,it_services,vc_growth,rpo__it_services,keep losing contractors mid-project because margins are too thin,figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they can't keep contractors on board mid-project as margins stay thin,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they can't keep contractors on board mid-project as margins stay thin

worth intro'ing you?"
23,,Yumatech,,,permanent_recruiting,enterprise_software,mixed_types,permanent_recruiting__enterprise_software,finding engineers who know legacy stacks and actually want to work in them,figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who actually want legacy stacks,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who actually want legacy stacks

worth intro'ing you?"
24,,ITExpert,,,permanent_recruiting,ai_ml,mixed_types,permanent_recruiting__ai_ml,everyone wants ML engineers but nobody can find ones who ship,figured i'd reach out - i talk to a lot of CTOs at AI companies and they keep saying they can't find ML engineers who actually ship in time,"your name came up on my end,

figured i'd reach out - i talk to a lot of CTOs at AI companies and they keep saying they can't find ML engineers who actually ship in time

worth intro'ing you?"
25,,Alex Staff Agency,,,staffing,enterprise_software,mixed_types,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR leads enterprise software and they keep saying they can't fill dev roles fast enough when a deal closes,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR leads enterprise software and they keep saying they can't fill dev roles fast enough when a deal closes

worth intro'ing you?"
26,,DESIGNERDOCK - Die Personalberatung für Kommunikation. Marketing. Design.,,,permanent_recruiting,null,smb_professional,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
27,,ZABEL,,,permanent_recruiting,cybersecurity,mixed_types,permanent_recruiting__cybersecurity,security hiring is so niche that most agencies send completely wrong profiles,figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep getting completely wrong profiles for security hiring from agencies,"your name came up on my end,

figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep getting completely wrong profiles for security hiring from agencies

worth intro'ing you?"
28,,Hivy 🐝,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
29,,We Select,,,unknown,null,,unknown__null,finding the right people is taking longer than the business can afford,figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles fast enough for the business pace,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles fast enough for the business pace

worth intro'ing you?"
30,,HealthCorp Partners,,,executive_search,pharma,enterprise_private,executive_search__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

worth intro'ing you?"
31,,PLES Convergence,,,executive_search,telecom,mixed_types,executive_search__telecom,can't find field technicians who stay through a full deployment,figured i'd reach out - i talk to a lot of project managers in telecom and they keep saying they can't find field technicians who stay through a full deployment,"your name came up on my end,

figured i'd reach out - i talk to a lot of project managers in telecom and they keep saying they can't find field technicians who stay through a full deployment

worth intro'ing you?"
32,,Externatic,,,staffing,cybersecurity,mixed_types,staffing__cybersecurity,can't find vetted security contractors who clear background checks fast,figured i'd reach out - i talk to a lot of mid-market tech CISOs and they keep saying they can't find vetted security contractors who clear background checks fast,"your name came up on my end,

figured i'd reach out - i talk to a lot of mid-market tech CISOs and they keep saying they can't find vetted security contractors who clear background checks fast

worth intro'ing you?"
33,,Sonnar,,,executive_search,null,vc_established,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they keep running senior searches that drag on and surface the wrong candidates

worth intro'ing you?"
34,,getmatch,,,permanent_recruiting,cybersecurity,mixed_types,permanent_recruiting__cybersecurity,security hiring is so niche that most agencies send completely wrong profiles,figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep getting candidates that aren't security focused for our teams,"your name came up on my end,

figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep getting candidates that aren't security focused for our teams

worth intro'ing you?"
35,,Jobissim,,,sourcing,null,mixed_types,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep seeing a thin pipeline and can't find the right people,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep seeing a thin pipeline and can't find the right people

worth intro'ing you?"
36,,Alfa AI,,,sourcing,null,unknown_type,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep having a thin pipeline whenever a req opens,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep having a thin pipeline whenever a req opens

worth intro'ing you?"
37,,RecWorks,,,rpo,it_services,mixed_types,rpo__it_services,keep losing contractors mid-project because margins are too thin,ERROR: ,"your name came up on my end,

ERROR: 

worth intro'ing you?"
38,,RRC Consulting,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
39,,Sea Change,,,executive_search,renewables,vc_early,executive_search__renewables,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they can't fill senior roles without burning 3-4 months and getting mismatched candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at growing firms and they keep saying they can't fill senior roles without burning 3-4 months and getting mismatched candidates

worth intro'ing you?"
40,,Maitland Selwyn Recruitment,,,staffing,residential_construction,enterprise_private,staffing__residential_construction,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't fill construction sales roles fast enough when projects ramp up,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't fill construction sales roles fast enough when projects ramp up

worth intro'ing you?"
41,,hyrise,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
42,,Keeparo - House of Employer Branding,,,sourcing,telecom,enterprise_public,sourcing__telecom,can't find field technicians who stay through a full deployment,figured i'd reach out - i talk to a lot of project managers telecom and they keep saying they can't find field technicians who stay through a full deployment,"your name came up on my end,

figured i'd reach out - i talk to a lot of project managers telecom and they keep saying they can't find field technicians who stay through a full deployment

worth intro'ing you?"
43,,Eiquem,,,staffing,it_services,mixed_types,staffing__it_services,keep losing contractors mid-project because margins are too thin,figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project as margins get too thin,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project as margins get too thin

worth intro'ing you?"
44,,Fredriks,,,executive_search,private_equity,enterprise_private,executive_search__private_equity,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates

worth intro'ing you?"
45,,Inoltra,,,staffing,enterprise_software,mixed_types,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff SAP implementation projects fast enough when deals close,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff SAP implementation projects fast enough when deals close

worth intro'ing you?"
46,,Leaderia,,,permanent_recruiting,hospitality,mixed_types,permanent_recruiting__hospitality,can't hold onto floor staff long enough to stop rehiring constantly,figured i'd reach out - i talk to a lot of hotel and restaurant operators and they keep saying they can't keep floor staff long enough to stop constant rehiring,"your name came up on my end,

figured i'd reach out - i talk to a lot of hotel and restaurant operators and they keep saying they can't keep floor staff long enough to stop constant rehiring

worth intro'ing you?"
47,,All Things Urban,,,sourcing,education,mixed_types,sourcing__education,can't fill substitute and specialist roles before the semester starts,figured i'd reach out - i talk to a lot of HR in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts

worth intro'ing you?"
48,,ERA Recruitment,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they recycling the same profiles and never hitting the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they recycling the same profiles and never hitting the right fit

worth intro'ing you?"
49,,Grooo,,,staffing,saas,mixed_types,staffing__saas,keep interviewing VP Sales candidates who can't build a team,ERROR: ,"your name came up on my end,

ERROR: 

worth intro'ing you?"
50,,Realta,,,permanent_recruiting,pharma,enterprise_private,permanent_recruiting__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

worth intro'ing you?"
51,,dfind.com,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave

worth intro'ing you?"
52,,Talent Tree,,,executive_search,enterprise_software,vc_growth,executive_search__enterprise_software,can't find a CRO who's actually built an enterprise sales motion before,figured i'd reach out - i talk to a lot of enterprise software founders and they keep saying they can't find a CRO who's actually built an enterprise sales motion before,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software founders and they keep saying they can't find a CRO who's actually built an enterprise sales motion before

worth intro'ing you?"
53,,Digitalenta,,,staffing,ai_ml,mixed_types,staffing__ai_ml,nobody available for contract ML work who isn't already locked in,figured i'd reach out - i talk to a lot of CTOs in AI startups and they keep saying they can't find contract ML talent that's not already locked in,"your name came up on my end,

figured i'd reach out - i talk to a lot of CTOs in AI startups and they keep saying they can't find contract ML talent that's not already locked in

worth intro'ing you?"
54,,MEDIJobs Romania,,,permanent_recruiting,hospitals,mixed_types,permanent_recruiting__hospitals,nursing shortages mean every open role has 3 urgent hires behind it,figured i'd reach out - i talk to a lot of talent leads in hospitals and they keep saying they keep falling behind on hires because of nursing shortages,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in hospitals and they keep saying they keep falling behind on hires because of nursing shortages

worth intro'ing you?"
55,,Harrington Starr,,,permanent_recruiting,fintech,mixed_types,permanent_recruiting__fintech,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep recycling the same profiles and never land the right hire,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep recycling the same profiles and never land the right hire

worth intro'ing you?"
56,,Benefit - Recruiting Company,,,permanent_recruiting,null,unknown_type,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
57,,REDSOFA GROUP,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly enough when a project spikes,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly enough when a project spikes

worth intro'ing you?"
58,,hotsourced,,,staffing,enterprise_software,smb_tech,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close

worth intro'ing you?"
59,,Europe Service,,,staffing,food_beverage,mixed_types,staffing__food_beverage,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly when demand spikes and lose momentum,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't scale headcount quickly when demand spikes and lose momentum

worth intro'ing you?"
60,,JOBIAN,,,permanent_recruiting,null,unknown_type,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers at growing companies and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers at growing companies and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
61,,Fulcrum,,,rpo,ecommerce_tech,mixed_types,rpo__ecommerce_tech,internal recruiting team is the bottleneck and leadership knows it,figured i'd reach out - i talk to a lot of talent heads scaling and they keep saying they can't get hires done because recruiting is the bottleneck,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent heads scaling and they keep saying they can't get hires done because recruiting is the bottleneck

worth intro'ing you?"
62,,Kenneth Brian Associates,,,staffing,accounting,mixed_types,staffing__accounting,can't find experienced CPAs willing to take contract roles,figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles,"your name came up on my end,

figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles

worth intro'ing you?"
63,,WeAreKeen | Talent Partners,,,rpo,saas,mixed_types,rpo__saas,internal recruiting team can't keep up with headcount targets,figured i'd reach out - i talk to a lot of talent heads scaling SaaS and they keep saying they can't keep up with headcount targets as we scale,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent heads scaling SaaS and they keep saying they can't keep up with headcount targets as we scale

worth intro'ing you?"
64,,wynwood tech,,,staffing,saas,mixed_types,staffing__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team

worth intro'ing you?"
65,,SOHINA GLOBAL RECRUITMENT,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
66,,RecruitGarden,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave

worth intro'ing you?"
67,,Hanto,,,permanent_recruiting,accounting,mixed_types,permanent_recruiting__accounting,can't keep senior accountants once they hit manager level,figured i'd reach out - i talk to a lot of partners at CPA firms and they keep saying they can't keep senior accountants once they hit manager level,"your name came up on my end,

figured i'd reach out - i talk to a lot of partners at CPA firms and they keep saying they can't keep senior accountants once they hit manager level

worth intro'ing you?"
68,,People Experience,,,staffing,accounting,mixed_types,staffing__accounting,can't find experienced CPAs willing to take contract roles,figured i'd reach out - i talk to a lot of accounting firm partners and they keep saying they can't find experienced CPAs willing to take contract roles,"your name came up on my end,

figured i'd reach out - i talk to a lot of accounting firm partners and they keep saying they can't find experienced CPAs willing to take contract roles

worth intro'ing you?"
69,,HEAAD,,,executive_search,ai_ml,mixed_types,executive_search__ai_ml,searching for a head of AI who can actually lead researchers and ship,figured i'd reach out - i talk to a lot of ai founders and they keep saying they can't find a head of AI who actually leads researchers and ships,"your name came up on my end,

figured i'd reach out - i talk to a lot of ai founders and they keep saying they can't find a head of AI who actually leads researchers and ships

worth intro'ing you?"
70,,Breakroom,,,unknown,consumer_goods,enterprise_public,unknown__consumer_goods,finding the right people is taking longer than the business can afford,figured i'd reach out - i talk to a lot of HR and ops leaders in growth and they keep saying they can't fill roles fast enough to keep up with demand,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR and ops leaders in growth and they keep saying they can't fill roles fast enough to keep up with demand

worth intro'ing you?"
71,,CWC Recruitment,,,staffing,private_clinics,mixed_types,staffing__private_clinics,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR at mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR at mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

worth intro'ing you?"
72,,WeAreKeen | Talent Partners,,,rpo,saas,mixed_types,rpo__saas,internal recruiting team can't keep up with headcount targets,figured i'd reach out - i talk to a lot of heads of talent at scaling SaaS and they keep saying they can't keep up with headcount targets as we scale,"your name came up on my end,

figured i'd reach out - i talk to a lot of heads of talent at scaling SaaS and they keep saying they can't keep up with headcount targets as we scale

worth intro'ing you?"
73,,Key Search,,,executive_search,saas,vc_growth,executive_search__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team

worth intro'ing you?"
74,,Muzzo,,,permanent_recruiting,null,unknown_type,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR in growing companies and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in growing companies and they keep saying they keep interviewing the same candidates and never finding the right fit

worth intro'ing you?"
