_idx,first_name,_company_name,_company_website,_country,primary_service,sub_industry,client_profile,matrix_key,matrix_pain_used,custom_personalisation,full_email
15,,FilmiJob,,,sourcing,grocery_food_retail,mixed_types,sourcing__grocery_food_retail,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep having a thin bench when a req opens,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they keep having a thin bench when a req opens

can plug you into the deal flow if you want"
16,,RECREW HR Sp. z o.o.,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid‑market firms and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid‑market firms and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
17,,Global FindNewJob,,,staffing,null,enterprise_private,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
18,,Babel Profiles,,,executive_search,luxury_retail,mixed_types,executive_search__luxury_retail,keep running searches for commercial talent that drag on 4-5 months,figured i'd reach out - i talk to a lot of luxury retail brand directors and GMs and they keep saying they keep running commercial talent searches that drag on 4-5 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of luxury retail brand directors and GMs and they keep saying they keep running commercial talent searches that drag on 4-5 months

can plug you into the deal flow if you want"
19,,Cesop HR Consulting Company,,,permanent_recruiting,null,enterprise_private,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep recycling the same profiles and never landing the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep recycling the same profiles and never landing the right fit

can plug you into the deal flow if you want"
20,,abmStudio [Executive Search-HR Management],,,executive_search,null,enterprise_private,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
21,,add-victor,,,sourcing,education,mixed_types,sourcing__education,can't fill substitute and specialist roles before the semester starts,figured i'd reach out - i talk to a lot of HR leads in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR leads in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts

can plug you into the deal flow if you want"
22,,Cerecaptio,,,rpo,it_services,vc_growth,rpo__it_services,keep losing contractors mid-project because margins are too thin,figured i'd reach out - i talk to a lot of mid-market tech IT managers and they keep saying they keep losing contractors mid-project because margins are too thin,"your name came up on my end,

figured i'd reach out - i talk to a lot of mid-market tech IT managers and they keep saying they keep losing contractors mid-project because margins are too thin

can plug you into the deal flow if you want"
23,,Yumatech,,,permanent_recruiting,enterprise_software,mixed_types,permanent_recruiting__enterprise_software,finding engineers who know legacy stacks and actually want to work in them,figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who actually want legacy stacks,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software hiring managers and they keep saying they can't find engineers who actually want legacy stacks

can plug you into the deal flow if you want"
24,,ITExpert,,,permanent_recruiting,ai_ml,mixed_types,permanent_recruiting__ai_ml,everyone wants ML engineers but nobody can find ones who ship,figured i'd reach out - i talk to a lot of CTOs in AI and they keep saying they can't find ML engineers who actually ship code,"your name came up on my end,

figured i'd reach out - i talk to a lot of CTOs in AI and they keep saying they can't find ML engineers who actually ship code

can plug you into the deal flow if you want"
25,,Alex Staff Agency,,,staffing,enterprise_software,mixed_types,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close

can plug you into the deal flow if you want"
26,,DESIGNERDOCK - Die Personalberatung für Kommunikation. Marketing. Design.,,,permanent_recruiting,null,smb_professional,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
27,,ZABEL,,,permanent_recruiting,cybersecurity,mixed_types,permanent_recruiting__cybersecurity,security hiring is so niche that most agencies send completely wrong profiles,figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they can't get right profiles because agencies send completely wrong ones,"your name came up on my end,

figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they can't get right profiles because agencies send completely wrong ones

can plug you into the deal flow if you want"
28,,Hivy 🐝,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
29,,We Select,,,unknown,null,,unknown__null,finding the right people is taking longer than the business can afford,figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles without burning 3-4 months of time,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles without burning 3-4 months of time

can plug you into the deal flow if you want"
30,,HealthCorp Partners,,,executive_search,pharma,enterprise_private,executive_search__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

can plug you into the deal flow if you want"
31,,PLES Convergence,,,executive_search,telecom,mixed_types,executive_search__telecom,can't find field technicians who stay through a full deployment,figured i'd reach out - i talk to a lot of project managers in telecom and they keep saying they can't find field technicians who stay through a full deployment,"your name came up on my end,

figured i'd reach out - i talk to a lot of project managers in telecom and they keep saying they can't find field technicians who stay through a full deployment

can plug you into the deal flow if you want"
32,,Externatic,,,staffing,cybersecurity,mixed_types,staffing__cybersecurity,can't find vetted security contractors who clear background checks fast,figured i'd reach out - i talk to a lot of CISOs in mid-market tech and they keep saying they can't find vetted security contractors who clear background checks fast,"your name came up on my end,

figured i'd reach out - i talk to a lot of CISOs in mid-market tech and they keep saying they can't find vetted security contractors who clear background checks fast

can plug you into the deal flow if you want"
33,,Sonnar,,,executive_search,null,vc_established,executive_search__null,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at growing companies and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at growing companies and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
34,,getmatch,,,permanent_recruiting,cybersecurity,mixed_types,permanent_recruiting__cybersecurity,security hiring is so niche that most agencies send completely wrong profiles,figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep sending completely wrong profiles that waste our time,"your name came up on my end,

figured i'd reach out - i talk to a lot of CISOs in cybersecurity and they keep saying they keep sending completely wrong profiles that waste our time

can plug you into the deal flow if you want"
35,,Jobissim,,,sourcing,null,mixed_types,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they can't keep a full pipeline when the right candidates are scarce,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they can't keep a full pipeline when the right candidates are scarce

can plug you into the deal flow if you want"
36,,Alfa AI,,,sourcing,null,unknown_type,sourcing__null,pipeline is always thin because finding the right people is the hardest part,figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they can't keep the pipeline full when the right people are scarce,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads scaling hiring and they keep saying they can't keep the pipeline full when the right people are scarce

can plug you into the deal flow if you want"
37,,RecWorks,,,rpo,it_services,mixed_types,rpo__it_services,keep losing contractors mid-project because margins are too thin,figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project because margins are too thin,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project because margins are too thin

can plug you into the deal flow if you want"
38,,RRC Consulting,,,staffing,null,unknown_type,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
39,,Sea Change,,,executive_search,renewables,vc_early,executive_search__renewables,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs at growing companies and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs at growing companies and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
40,,Maitland Selwyn Recruitment,,,staffing,residential_construction,enterprise_private,staffing__residential_construction,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
41,,hyrise,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
42,,Keeparo - House of Employer Branding,,,sourcing,telecom,enterprise_public,sourcing__telecom,can't find field technicians who stay through a full deployment,figured i'd reach out - i talk to a lot of project managers telecom and they keep saying they can't find field technicians who stay through a full deployment,"your name came up on my end,

figured i'd reach out - i talk to a lot of project managers telecom and they keep saying they can't find field technicians who stay through a full deployment

can plug you into the deal flow if you want"
43,,Eiquem,,,staffing,it_services,mixed_types,staffing__it_services,keep losing contractors mid-project because margins are too thin,figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project as margins stay too thin,"your name came up on my end,

figured i'd reach out - i talk to a lot of IT managers in mid-market tech and they keep saying they keep losing contractors mid-project as margins stay too thin

can plug you into the deal flow if you want"
44,,Fredriks,,,executive_search,private_equity,enterprise_private,executive_search__private_equity,keep running senior searches that drag on and surface the wrong candidates,figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates,"your name came up on my end,

figured i'd reach out - i talk to a lot of founders and execs scaling and they keep saying they keep running senior searches that drag on and surface the wrong candidates

can plug you into the deal flow if you want"
45,,Inoltra,,,staffing,enterprise_software,mixed_types,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in enterprise software and they keep saying they can't staff implementation projects fast enough when deals close

can plug you into the deal flow if you want"
46,,Leaderia,,,permanent_recruiting,hospitality,mixed_types,permanent_recruiting__hospitality,can't hold onto floor staff long enough to stop rehiring constantly,figured i'd reach out - i talk to a lot of hotel and restaurant operators and they keep saying they can't keep floor staff long enough to stop constant rehiring,"your name came up on my end,

figured i'd reach out - i talk to a lot of hotel and restaurant operators and they keep saying they can't keep floor staff long enough to stop constant rehiring

can plug you into the deal flow if you want"
47,,All Things Urban,,,sourcing,education,mixed_types,sourcing__education,can't fill substitute and specialist roles before the semester starts,figured i'd reach out - i talk to a lot of HR in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in school districts and they keep saying they can't fill substitute and specialist roles before the semester starts

can plug you into the deal flow if you want"
48,,ERA Recruitment,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
49,,Grooo,,,staffing,saas,mixed_types,staffing__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team

can plug you into the deal flow if you want"
50,,Realta,,,permanent_recruiting,pharma,enterprise_private,permanent_recruiting__pharma,can't fill senior regulatory roles without burning 3-4 months,figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in pharma and they keep saying they can't fill senior regulatory roles without burning 3-4 months

can plug you into the deal flow if you want"
51,,dfind.com,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they keep filling the same roles every year as people leave

can plug you into the deal flow if you want"
52,,Talent Tree,,,executive_search,enterprise_software,vc_growth,executive_search__enterprise_software,can't find a CRO who's actually built an enterprise sales motion before,figured i'd reach out - i talk to a lot of enterprise software founders and they keep saying they can't find a CRO who's actually built an enterprise sales motion before,"your name came up on my end,

figured i'd reach out - i talk to a lot of enterprise software founders and they keep saying they can't find a CRO who's actually built an enterprise sales motion before

can plug you into the deal flow if you want"
53,,Digitalenta,,,staffing,ai_ml,mixed_types,staffing__ai_ml,nobody available for contract ML work who isn't already locked in,figured i'd reach out - i talk to a lot of CTOs in AI startups and they keep saying they can't find contract ML talent that's not already locked in,"your name came up on my end,

figured i'd reach out - i talk to a lot of CTOs in AI startups and they keep saying they can't find contract ML talent that's not already locked in

can plug you into the deal flow if you want"
54,,MEDIJobs Romania,,,permanent_recruiting,hospitals,mixed_types,permanent_recruiting__hospitals,nursing shortages mean every open role has 3 urgent hires behind it,figured i'd reach out - i talk to a lot of talent leads in hospitals and they keep saying they can't fill roles because nursing shortages leave 3 hires pending,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in hospitals and they keep saying they can't fill roles because nursing shortages leave 3 hires pending

can plug you into the deal flow if you want"
55,,Harrington Starr,,,permanent_recruiting,fintech,mixed_types,permanent_recruiting__fintech,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
56,,Benefit - Recruiting Company,,,permanent_recruiting,null,unknown_type,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers scaling and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers scaling and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
57,,REDSOFA GROUP,,,staffing,null,mixed_types,staffing__null,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
58,,hotsourced,,,staffing,enterprise_software,smb_tech,staffing__enterprise_software,can't staff implementation projects fast enough when deals close,figured i'd reach out - i talk to a lot of HR leads in enterprise SaaS and they keep saying they can't fill implementation roles quickly enough when a deal closes,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR leads in enterprise SaaS and they keep saying they can't fill implementation roles quickly enough when a deal closes

can plug you into the deal flow if you want"
59,,Europe Service,,,staffing,food_beverage,mixed_types,staffing__food_beverage,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR in mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
60,,JOBIAN,,,permanent_recruiting,null,unknown_type,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR in growing firms and they keep saying they interview the same candidates and never find the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR in growing firms and they keep saying they interview the same candidates and never find the right fit

can plug you into the deal flow if you want"
61,,Fulcrum,,,rpo,ecommerce_tech,mixed_types,rpo__ecommerce_tech,internal recruiting team is the bottleneck and leadership knows it,figured i'd reach out - i talk to a lot of talent heads scaling and they keep saying they can't move hires because recruiting is the bottleneck,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent heads scaling and they keep saying they can't move hires because recruiting is the bottleneck

can plug you into the deal flow if you want"
62,,Kenneth Brian Associates,,,staffing,accounting,mixed_types,staffing__accounting,can't find experienced CPAs willing to take contract roles,figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles,"your name came up on my end,

figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles

can plug you into the deal flow if you want"
63,,WeAreKeen | Talent Partners,,,rpo,saas,mixed_types,rpo__saas,internal recruiting team can't keep up with headcount targets,figured i'd reach out - i talk to a lot of talent heads scaling SaaS and they keep saying they can't keep up with headcount targets as we scale,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent heads scaling SaaS and they keep saying they can't keep up with headcount targets as we scale

can plug you into the deal flow if you want"
64,,wynwood tech,,,staffing,saas,mixed_types,staffing__saas,keep interviewing VP Sales candidates who can't build a team,figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team,"your name came up on my end,

figured i'd reach out - i talk to a lot of SaaS founders scaling and they keep saying they keep interviewing VP Sales candidates who can't build a team

can plug you into the deal flow if you want"
65,,SOHINA GLOBAL RECRUITMENT,,,permanent_recruiting,null,mixed_types,permanent_recruiting__null,keep interviewing the same candidates and never finding the right fit,figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR directors and hiring managers and they keep saying they keep interviewing the same candidates and never finding the right fit

can plug you into the deal flow if you want"
66,,RecruitGarden,,,permanent_recruiting,it_services,mixed_types,permanent_recruiting__it_services,keep filling the same roles every 12 months when people leave,figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they recycle the same profiles every year as people churn,"your name came up on my end,

figured i'd reach out - i talk to a lot of talent leads in IT services and they keep saying they recycle the same profiles every year as people churn

can plug you into the deal flow if you want"
67,,Hanto,,,permanent_recruiting,accounting,mixed_types,permanent_recruiting__accounting,can't keep senior accountants once they hit manager level,figured i'd reach out - i talk to a lot of partners at CPA firms and they keep saying they can't keep senior accountants once they hit manager level,"your name came up on my end,

figured i'd reach out - i talk to a lot of partners at CPA firms and they keep saying they can't keep senior accountants once they hit manager level

can plug you into the deal flow if you want"
68,,People Experience,,,staffing,accounting,mixed_types,staffing__accounting,can't find experienced CPAs willing to take contract roles,figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles,"your name came up on my end,

figured i'd reach out - i talk to a lot of partners at accounting firms and they keep saying they can't find experienced CPAs willing to take contract roles

can plug you into the deal flow if you want"
69,,HEAAD,,,executive_search,ai_ml,mixed_types,executive_search__ai_ml,searching for a head of AI who can actually lead researchers and ship,figured i'd reach out - i talk to a lot of AI founders and they keep saying they searching for a head of AI who can lead and ship,"your name came up on my end,

figured i'd reach out - i talk to a lot of AI founders and they keep saying they searching for a head of AI who can lead and ship

can plug you into the deal flow if you want"
70,,Breakroom,,,unknown,consumer_goods,enterprise_public,unknown__consumer_goods,finding the right people is taking longer than the business can afford,figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles without burning 3-4 months and losing momentum,"your name came up on my end,

figured i'd reach out - i talk to a lot of HR and ops leaders scaling and they keep saying they can't fill roles without burning 3-4 months and losing momentum

can plug you into the deal flow if you want"
71,,CWC Recruitment,,,staffing,private_clinics,mixed_types,staffing__private_clinics,can't flex headcount fast enough when the business actually needs it,figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it,"your name came up on my end,

figured i'd reach out - i talk to a lot of ops and HR leaders mid-market and they keep saying they can't flex headcount fast enough when the business actually needs it

can plug you into the deal flow if you want"
72,,WeAreKeen | Talent Partners,,,rpo,saas,mixed_types,rpo__saas,internal recruiting team can't keep up with headcount targets,figured i'd reach out - i talk to a lot of heads of talent in scaling SaaS and they keep saying they can't keep up with headcount targets and hiring speed,"your name came up on my end,

figured i'd reach out - i talk to a lot of heads of talent in scaling SaaS and they keep saying they can't keep up with headcount targets and hiring speed

can plug you into the deal flow if you want"
